"","Time","HDD_Index"
"2","2001M01","422.75"
"3","2001M02","365.77"
"4","2001M03","384.82"
"5","2001M04","303.95"
"6","2001M05","184.88"
"7","2001M06","129.43"
"8","2001M07","61.43"
"9","2001M08","63.2"
"10","2001M09","125.25"
"11","2001M10","145.16"
"12","2001M11","288.31"
"13","2001M12","405.17"
"14","2002M01","325.38"
"15","2002M02","306.75"
"16","2002M03","316.88"
"17","2002M04","271.77"
"18","2002M05","205.62"
"19","2002M06","128.85"
"20","2002M07","91.19"
"21","2002M08","43.89"
"22","2002M09","128.21"
"23","2002M10","240.68"
"24","2002M11","264.32"
"25","2002M12","350.96"
"26","2003M01","384.05"
"27","2003M02","348.97"
"28","2003M03","318.31"
"29","2003M04","247.21"
"30","2003M05","193.66"
"31","2003M06","81.82"
"32","2003M07","19.32"
"33","2003M08","38.9"
"34","2003M09","100.64"
"35","2003M10","264.4"
"36","2003M11","278.13"
"37","2003M12","369.45"
"38","2004M01","379.55"
"39","2004M02","360.39"
"40","2004M03","342.66"
"41","2004M04","264.78"
"42","2004M05","205.35"
"43","2004M06","68.25"
"44","2004M07","81.95"
"45","2004M08","31.66"
"46","2004M09","87.48"
"47","2004M10","257.08"
"48","2004M11","288.06"
"49","2004M12","345.75"
"50","2005M01","334.73"
"51","2005M02","356.06"
"52","2005M03","304.54"
"53","2005M04","278.67"
"54","2005M05","225"
"55","2005M06","71.15"
"56","2005M07","53.88"
"57","2005M08","39.93"
"58","2005M09","88"
"59","2005M10","163.22"
"60","2005M11","336.41"
"61","2005M12","364.78"
"62","2006M01","374.39"
"63","2006M02","355.74"
"64","2006M03","371.13"
"65","2006M04","289.87"
"66","2006M05","199.98"
"67","2006M06","71.68"
"68","2006M07","18"
"69","2006M08","53.81"
"70","2006M09","47.1"
"71","2006M10","171.99"
"72","2006M11","299.63"
"73","2006M12","342.63"
"74","2007M01","341.24"
"75","2007M02","321.45"
"76","2007M03","344.13"
"77","2007M04","204.59"
"78","2007M05","197.61"
"79","2007M06","113.51"
"80","2007M07","81.03"
"81","2007M08","72.97"
"82","2007M09","112.66"
"83","2007M10","188.27"
"84","2007M11","273.16"
"85","2007M12","350.89"
"86","2008M01","339.43"
"87","2008M02","335.61"
"88","2008M03","360.31"
"89","2008M04","296.91"
"90","2008M05","154.44"
"91","2008M06","127.2"
"92","2008M07","55.88"
"93","2008M08","32.53"
"94","2008M09","146.13"
"95","2008M10","262.48"
"96","2008M11","321.89"
"97","2008M12","409.04"
"98","2009M01","415.65"
"99","2009M02","354.98"
"100","2009M03","328.71"
"101","2009M04","267.85"
"102","2009M05","196.19"
"103","2009M06","95.97"
"104","2009M07","57.01"
"105","2009M08","45.22"
"106","2009M09","134.01"
"107","2009M10","191.45"
"108","2009M11","306.08"
"109","2009M12","434.61"
"110","2010M01","490.19"
"111","2010M02","425.42"
"112","2010M03","379.47"
"113","2010M04","286.84"
"114","2010M05","230.64"
"115","2010M06","77.18"
"116","2010M07","25.3"
"117","2010M08","84.2"
"118","2010M09","98.73"
"119","2010M10","226.64"
"120","2010M11","373.95"
"121","2010M12","545.74"
"122","2011M01","433.4"
"123","2011M02","292.22"
"124","2011M03","347.85"
"125","2011M04","200.09"
"126","2011M05","187.82"
"127","2011M06","150.17"
"128","2011M07","89.48"
"129","2011M08","100.71"
"130","2011M09","100.7"
"131","2011M10","157.06"
"132","2011M11","233.16"
"133","2011M12","373.32"
"134","2012M01","349.96"
"135","2012M02","315.94"
"136","2012M03","276.28"
"137","2012M04","328.79"
"138","2012M05","222.42"
"139","2012M06","134.14"
"140","2012M07","89.22"
"141","2012M08","35.44"
"142","2012M09","146.43"
"143","2012M10","272.92"
"144","2012M11","335.81"
"145","2012M12","381.06"
"146","2013M01","393.16"
"147","2013M02","370.95"
"148","2013M03","444.48"
"149","2013M04","319"
"150","2013M05","229.09"
"151","2013M06","116.86"
"152","2013M07","7.77"
"153","2013M08","26.25"
"154","2013M09","116.86"
"155","2013M10","169.99"
"156","2013M11","337.88"
"157","2013M12","336.65"
"158","2014M01","372.16"
"159","2014M02","331.51"
"160","2014M03","333.96"
"161","2014M04","244.35"
"162","2014M05","183.75"
"163","2014M06","93.24"
"164","2014M07","26.1"
"165","2014M08","94.06"
"166","2014M09","97.96"
"167","2014M10","184.23"
"168","2014M11","302.36"
"169","2014M12","387.74"
"170","2015M01","406.65"
"171","2015M02","378.65"
"172","2015M03","361.73"
"173","2015M04","287.79"
"174","2015M05","237.88"
"175","2015M06","123.43"
"176","2015M07","80.07"
"177","2015M08","88.46"
"178","2015M09","163.74"
"179","2015M10","217.34"
"180","2015M11","256.63"
"181","2015M12","280.22"
"182","2016M01","360.42"
"183","2016M02","374.32"
